"idno","author-short","title-short","year","country","narrative-perspective","subgenre-theme","subgenre-current","subgenre-novela-original","subgenre-novela-americana","subgenre-novela-mexicana","subgenre-novela-argentina","subgenre-novela-cubana","tokens"
"nh0102","VillaverdeC","DosAmores",1858,"Cuba","heterodiegetic","novela sentimental","novela romántica","novela original","novela americana","none","none","novela cubana",53230
"nh0103","ZamacoisN","MendigoSanAngel",1865,"Mexico","heterodiegetic","novela histórica","unknown","novela original","none","none","none","none",330876
"nh0104","CastilloFM","HermanaAngeles",1854,"Mexico","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",29672
"nh0105","PaynoM","HombreSituacion",1861,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",50534
"nh0106","SierraOReillyJ","HijaJudio",1848,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",195753
"nh0107","ZamacoisN","Pompeya",1871,"Mexico","heterodiegetic","novela histórica","unknown","none","none","none","none","none",303394
"nh0108","InclanLG","Astucia",1866,"Mexico","heterodiegetic","novela histórica","novela romántica","novela original","novela americana","novela mexicana","none","none",315998
"nh0109","MoruaDelgadoM","Sofia",1891,"Cuba","heterodiegetic","novela social","novela naturalista","none","novela americana","none","none","novela cubana",58700
"nh0110","GorritiJM","Peregrinaciones",1876,"Argentina","autodiegetic","novela de viajes","novela romántica","none","none","none","none","none",42815
"nh0111","MateosJA","Insurgentes",1869,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",148644
"nh0112","CalcagnoF","CrimenesConcha",1887,"Cuba","heterodiegetic","novela social","unknown","none","novela americana","none","none","novela cubana",51313
"nh0113","GomezAvellanedaG","Sab",1841,"Cuba","heterodiegetic","novela abolicionista","novela romántica","novela original","none","none","none","none",53129
"nh0114","BobadillaE","Fuego",1903,"Cuba","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",63807
"nh0115","GomezAvellanedaG","Guatimozin",1846,"Cuba","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",130454
"nh0116","GomezAvellanedaG","VeladaHelecho",1857,"Cuba","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",19566
"nh0117","GomezAvellanedaG","Espatolino",1844,"Cuba","heterodiegetic","novela histórica","novela romántica","novela original","none","none","none","none",58341
"nh0118","VillaverdeC","Cecilia",1839,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","none","none","novela cubana",182647
"nh0119","MartiJ","Amistad",1885,"Cuba","heterodiegetic","novela sentimental","novela modernista","none","none","none","none","none",36093
"nh0120","PaynoM","Fistol",1846,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",239353
"nh0121","SuarezRomeroA","Francisco",1839,"Cuba","heterodiegetic","novela abolicionista","novela romántica","none","novela americana","none","none","novela cubana",36662
"nh0122","RivaPalacioV","Muertos",1870,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",108815
"nh0123","SylvaV","AsiSea",1893,"Argentina","autodiegetic","novela sentimental","unknown","none","novela americana","none","none","none",57822
"nh0124","GomezAvellanedaG","ArtistaBarquero",1861,"Cuba","heterodiegetic","Künstlerroman","novela romántica","none","none","none","none","none",67902
"nh0125","RivaPalacioV","Calvario",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",136311
"nh0126","CaneMI","Sconner",1858,"Argentina","heterodiegetic","novela social","novela romántica","none","none","none","none","none",24010
"nh0127","OcantosCM","Candidato",1893,"Argentina","heterodiegetic","novela política","novela realista","none","none","none","none","none",72592
"nh0128","PalmaPalmaE","HijaTutulXiu",1884,"Mexico","heterodiegetic","novela indigenista","unknown","none","novela americana","novela mexicana","none","none",90415
"nh0129","CuellarJT","Fuerenos",1883,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",25032
"nh0130","AguilarV","Otilia",1887,"Argentina","heterodiegetic","novela sentimental","unknown","none","novela americana","none","none","none",68468
"nh0131","CuellarJT","BaileCochino",1886,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",34925
"nh0132","OteroR","CeciliaMatancera",1861,"Cuba","heterodiegetic","novela sentimental","unknown","none","novela americana","none","none","novela cubana",60881
"nh0133","CampoValleA","Rumba",1891,"Mexico","heterodiegetic","novela de costumbres","novela realista","none","none","none","none","none",33506
"nh0134","CasteraP","Querens",1890,"Mexico","autodiegetic","novela científica","unknown","novela original","none","none","none","none",29604
"nh0135","ZambranaVazquezF","Francisco",1873,"Cuba","heterodiegetic","novela de costumbres","novela realista","novela original","novela americana","none","none","novela cubana",36604
"nh0136","AzuelaM","MariaLuisa",1907,"Mexico","heterodiegetic","novela sentimental","novela naturalista","none","none","none","none","none",23358
"nh0137","MalpicaLaBarcaD","Cafetal",1890,"Cuba","homodiegetic","novela de costumbres","unknown","none","novela americana","none","none","novela cubana",96690
"nh0138","CuellarJT","GabrielCerrajero",1872,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",56883
"nh0139","RoblesP","Plateados",1891,"Mexico","heterodiegetic","novela histórica","unknown","none","none","none","none","none",52286
"nh0140","GomezAvellanedaG","DosMujeres",1843,"Cuba","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",82518
"nh0141","CuellarJT","GentesAsi",1872,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",128841
"nh0142","OlavarriaFerrariE","TalamoHorca",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","novela original","none","none","none","none",157266
"nh0143","OlavarriaFerrariE","VenganzaRemordimiento",1869,"Mexico","heterodiegetic","novela histórica","novela romántica","novela original","none","none","none","none",151801
"nh0144","CuellarJT","IsolinaExFigurante",1871,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",69206
"nh0145","CasteraP","DramasCorazon",1890,"Mexico","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",42858
"nh0146","AltamiranoIM","Julia",1870,"Mexico","autodiegetic","novela sentimental","novela romántica","none","none","none","none","none",20415
"nh0147","PichardoE","Fatalista",1866,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","none","none","novela cubana",73296
"nh0148","OcantosCM","EntreLuces",1892,"Argentina","heterodiegetic","novela política","novela realista","none","none","none","none","none",75245
"nh0149","PazI","Marina",1883,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",188941
"nh0150","LarrosaAnsaldoL","Esposos",1893,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",36721
"nh0151","GuadalajaraJR","AmaliaPaginas",1891,"Mexico","autodiegetic","novela sentimental","novela romántica","none","none","none","none","none",36956
"nh0152","PazI","Juarez",1904,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",186349
"nh0153","AuberNoyaVF","Ambarina",1858,"Cuba","heterodiegetic","novela doméstica","unknown","none","novela americana","none","none","novela cubana",96986
"nh0154","AuberNoyaVF","Wilhelmina",1843,"Cuba","heterodiegetic","novela sentimental","unknown","none","none","none","none","none",28612
"nh0155","SaldiasA","Bianchetto",1896,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",59107
"nh0156","PazI","PiedraSacrificio",1871,"Mexico","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",110776
"nh0157","SierraMendezJ","Confesiones",1873,"Mexico","autodiegetic","Künstlerroman","novela romántica","none","none","none","none","none",20486
"nh0158","EchaizJ","Paladin",1871,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",103198
"nh0159","MateosJA","SolMayo",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",178353
"nh0160","BarredaR","PepaLarrica",1884,"Argentina","heterodiegetic","novela histórica","unknown","none","none","none","none","none",120215
"nh0161","LopezVF","GranSemana",1896,"Argentina","autodiegetic","novela histórica","novela romántica","none","none","none","none","none",20770
"nh0162","PazI","AmorDeViejo",1874,"Mexico","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",19325
"nh0163","MoruaDelgadoM","Unzuazu",1901,"Cuba","heterodiegetic","novela social","novela naturalista","none","novela americana","none","none","novela cubana",66897
"nh0164","GroussacP","FrutoVedado",1881,"Argentina","heterodiegetic","novela de costumbres","novela naturalista","none","novela americana","none","novela argentina","none",68462
"nh0165","SaladoAlvarezV","RanasRey",1903,"Mexico","autodiegetic","novela histórica","novela realista","none","novela americana","novela mexicana","none","none",58901
"nh0166","BacardiMoreauE","ViaCrucis",1910,"Cuba","heterodiegetic","novela histórica","unknown","none","none","none","none","none",99221
"nh0167","PinaR","Geronimo",1856,"Cuba","heterodiegetic","novela moralista","novela romántica","novela original","none","none","none","none",85341
"nh0168","GomezAvellanedaG","Dolores",1851,"Cuba","heterodiegetic","novela histórica","unknown","none","none","none","none","none",26730
"nh0169","VillaverdeC","Penitente",1889,"Cuba","homodiegetic","novela histórica","novela romántica","none","novela americana","none","none","novela cubana",36425
"nh0170","CalcagnoF","Aponte",1901,"Cuba","heterodiegetic","novela abolicionista","unknown","none","none","none","none","none",43446
"nh0171","CasteraP","Carmen",1882,"Mexico","autodiegetic","novela sentimental","novela romántica","none","none","none","none","none",62013
"nh0172","LarrosaAnsaldoL","Lujo",1889,"Argentina","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",39528
"nh0173","CamposRM","ClaudioOronoz",1906,"Mexico","homodiegetic","novela de la ciudad","novela modernista","none","none","none","none","none",63347
"nh0174","RabasaE","CuartoPoder",1888,"Mexico","autodiegetic","novela política","novela realista","novela original","none","none","none","none",39206
"nh0175","RabasaE","MonedaFalsa",1888,"Mexico","autodiegetic","novela política","novela realista","none","none","none","none","none",47910
"nh0176","OlascoagaMJ","SargentoClaro",1898,"Argentina","heterodiegetic","novela histórica","unknown","none","none","none","none","none",49116
"nh0177","DiazOlazabalR","BACosmopolita",1900,"Argentina","heterodiegetic","novela de la ciudad","novela naturalista","none","none","none","none","none",32168
"nh0178","GorritiJM","GubiAmaya",1865,"Argentina","homodiegetic","novela social","novela romántica","none","none","none","none","none",15832
"nh0179","DominguezS","PerfilesMedallones",1886,"Argentina","autodiegetic","novela de costumbres","novela naturalista","none","novela americana","none","novela argentina","none",46760
"nh0180","AnconaE","Filibustero",1864,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",101221
"nh0181","AnconaE","MartiresAnahuac",1870,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",126730
"nh0182","AnconaE","MemoriasAlferez",1904,"Mexico","autodiegetic","novela histórica","novela romántica","none","none","none","none","none",124274
"nh0183","RiveraYRioJ","DramasNuevaYork",1869,"Mexico","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",175143
"nh0184","AlmazanJP","HerejeMusulman",1870,"Mexico","heterodiegetic","novela histórica","unknown","none","none","none","none","none",73430
"nh0185","HolmbergEL","ViajeMaravillosoNicNac",1875,"Argentina","autodiegetic","novela científica","unknown","none","none","none","none","none",33524
"nh0186","HolmbergEL","BolsaHuesos",1896,"Argentina","autodiegetic","novela criminal","unknown","none","none","none","none","none",19381
"nh0187","HolmbergEL","Nelly",1896,"Argentina","autodiegetic","novela sentimental","unknown","none","none","none","none","none",19933
"nh0188","VillaverdeC","Historia habanera",1840,"Cuba","heterodiegetic","novela sentimental","novela romántica","none","novela americana","none","none","novela cubana",68339
"nh0189","HolmbergEL","TipoOriginal",1879,"Argentina","autodiegetic","novela científica","novela naturalista","none","none","none","none","none",39549
"nh0190","GamboaF","Apariencias",1892,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",109540
"nh0191","GamboaF","LaLlaga",1910,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",112713
"nh0192","GamboaF","SupremaLey",1896,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",114201
"nh0193","GamboaF","Reconquista",1908,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",98704
"nh0194","GamboaF","Metamorfosis",1899,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",120938
"nh0195","PellizaSagastaJ","Margarita",1875,"Argentina","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",69250
"nh0196","PazI","AltezaSerenisima",1895,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",76659
"nh0197","CuellarJT","ChuchoNinfo",1871,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",63808
"nh0198","RabasaE","GranCiencia",1887,"Mexico","autodiegetic","novela política","novela realista","novela original","none","none","none","none",39710
"nh0199","CuellarJT","Mariditos",1890,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",25753
"nh0200","VarelaLV","HuellaCrimen",1877,"Argentina","heterodiegetic","novela criminal","unknown","novela original","none","none","none","none",45322
"nh0201","GutierrezE","CarloLanza",1886,"Argentina","heterodiegetic","novela criminal","novela romántica","none","none","none","none","none",115941
"nh0202","LopezPortilloJ","Precursores",1909,"Mexico","heterodiegetic","novela sentimental","novela realista","none","none","none","none","none",146259
"nh0203","RivaPalacioV","MonjaCasada",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",144648
"nh0204","AzuelaM","Fracasados",1908,"Mexico","heterodiegetic","novela política","novela realista","none","none","none","none","none",43221
"nh0205","AzuelaM","MalaYerba",1909,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",43997
"nh0206","VarelaLV","Clemencia",1877,"Argentina","heterodiegetic","novela criminal","novela naturalista","novela original","none","none","none","none",49802
"nh0207","GuerreroPallaresT","Anatomia",1856,"Cuba","heterodiegetic","novela sentimental","unknown","novela original","none","none","none","none",136402
"nh0208","SanchezMarmolM","AntonPerez",1903,"Mexico","heterodiegetic","novela histórica","novela realista","none","none","none","none","none",55622
"nh0209","SanchezMarmolM","Previvida",1906,"Mexico","heterodiegetic","novela sentimental","unknown","none","none","none","none","none",38884
"nh0210","ZayasEnriquezR","Teniente",1902,"Mexico","heterodiegetic","novela histórica","novela realista","none","none","none","none","none",62052
"nh0211","SanchezMarmolM","Pocahontas",1882,"Mexico","heterodiegetic","novela política","unknown","none","none","none","none","none",35091
"nh0212","SanchezMarmolM","JuanitaSousa",1890,"Mexico","heterodiegetic","novela sentimental","unknown","none","none","none","none","none",32314
"nh0213","BlancoCM","Salvaje",1891,"Argentina","heterodiegetic","novela de costumbres","unknown","none","novela americana","none","novela argentina","none",20912
"nh0214","ZentellaA","Perico",1885,"Mexico","heterodiegetic","novela de costumbres","novela realista","none","none","none","none","none",22593
"nh0215","CalcagnoF","BuscaEslabon",1888,"Cuba","heterodiegetic","novela científica","unknown","none","none","none","none","none",65047
